Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLU1cYDntAmw1Ti7Tex8oIzPTfJcwWCQuG,UCLuSHhURU35xtFCoEaoSEzA,2017-12-05 08:38:54 UTC,2022-07-04 06:30:37 UTC,Mi musica,,Public

Video Id,Time Added
WLYmzRxV58U,2020-09-13 03:01:09 UTC
2-OKy-dO48E,2020-09-13 03:03:58 UTC
5m3q7M5zFwM,2020-09-13 03:01:23 UTC
SEdINOqCAwM,2020-09-13 03:03:55 UTC
xYihzEIChDs,2020-09-13 03:04:55 UTC
_o1pOGc-zS0,2017-12-05 08:39:32 UTC
eZBcuV1nfVk,2020-09-17 22:32:58 UTC
pwz7cerVuKE,2020-09-13 03:05:28 UTC
nGnFF5w5sro,2020-09-13 03:00:37 UTC
yC_2tlsnpMw,2020-09-13 02:59:25 UTC
KptOdEYDYRo,2020-09-13 03:00:30 UTC
itVDaqZz2cI,2020-09-13 02:57:14 UTC
Z54qivg2YUM,2020-09-13 02:58:19 UTC
3jLzYXXm6J8,2020-09-13 03:01:44 UTC
jmyDo0CgEX0,2020-09-16 18:11:17 UTC
2erSOnhEN44,2020-09-13 03:00:43 UTC
Z3Z7sUHGNuY,2020-09-13 02:59:43 UTC
rVLyDvQh7k8,2020-09-13 03:00:15 UTC
2YocxcVEbqQ,2020-09-13 03:00:25 UTC
gZaN_A1tzj4,2020-09-13 03:02:55 UTC
STb1HnT6AQg,2018-09-21 01:11:17 UTC
7ZToAL6O-OE,2020-09-16 23:24:55 UTC
erJHjruJuQQ,2020-09-13 03:01:54 UTC
TsEDRmNKcQU,2020-09-13 03:06:16 UTC
ya0ICamwuZI,2020-09-13 03:00:50 UTC
9xOQLqs7zJA,2020-09-13 02:59:13 UTC
yA6TLHd87SU,2017-12-05 08:40:34 UTC
xrsjhiIzwqY,2020-09-13 02:59:08 UTC
-3cO4vgaytU,2020-09-13 03:05:59 UTC
_YpZjRYBDGg,2020-09-13 03:04:47 UTC
t1zxDiFFUtw,2020-09-13 03:01:40 UTC
bjCX6rEH7KI,2020-09-13 03:03:42 UTC
xHOp1Hwbdc4,2020-09-13 03:03:51 UTC
23fYycfSO20,2020-09-13 03:01:59 UTC
lahD-KvSDQo,2020-09-13 02:57:42 UTC
JQ3r6O9Bk6Q,2020-09-13 03:06:02 UTC
vmBC3WXx17M,2020-09-13 03:03:30 UTC
zq5v3CuEljE,2020-09-13 03:05:18 UTC
zRy09dnCUU4,2020-09-13 02:59:21 UTC
6oWf3lQS6dU,2020-09-13 03:02:26 UTC
j7mNDtWc93o,2020-09-13 03:02:30 UTC
G3kUIwJuHh0,2020-09-13 03:00:22 UTC
ARXPPtM9jUo,2020-09-30 03:18:05 UTC
StFZI7vBXoY,2020-09-13 02:58:23 UTC
9B_u9N_VzNo,2020-09-13 03:04:33 UTC
G6OIjS80k4I,2020-09-13 02:57:51 UTC
Jb3CmI3Hhnk,2020-09-13 02:59:39 UTC
C3ofv17vtz0,2020-09-13 02:59:17 UTC
K_xTFO8-qDI,2020-09-13 03:04:50 UTC
if0F-qYvoGE,2020-09-19 00:31:08 UTC
jqQznao1YXA,2020-09-12 11:49:00 UTC
GSUuYox5ID0,2020-09-13 03:02:23 UTC
70QxaHVOLOk,2019-08-08 21:32:36 UTC
6JH9m04bwAs,2020-09-13 03:02:58 UTC

